science_decreases_jobs,trust_neighbours,trust_government,trust_scientists,trust_journalists,trust_doctors,trust_ngos,trust_trad_healers,age,gender,education,hh_income,subj_income,emp_status
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,85,Male,Tertiary,Richest 20%,Living comfortable on present income,Employed full time for self
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,45,Female,Tertiary,Second 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28,Female,Secondary (8-15 years),Poorest 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,56,Male,Tertiary,Richest 20%,Living comfortable on present income,Employed full time for an employer
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,23,Female,Secondary (8-15 years),Second 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,70,Male,Tertiary,Richest 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,20,Male,Secondary (8-15 years),Second 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,54,Male,Tertiary,Richest 20%,Living comfortable on present income,Employed part time want full time
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,40,Female,Tertiary,Middle 20%,Living comfortable on present income,Employed full time for an employer
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,52,Male,Secondary (8-15 years),Poorest 20%,Getting by on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,67,Male,Tertiary,Richest 20%,Living comfortable on present income,Employed full time for an employer
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,44,Female,Tertiary,Middle 20%,Getting by on present income,Employed full time for self
