Area code, population_density, pct_age_16_64, modelled_unemployment_rate, gdhi_per_head, median_weekly_pay, inward_fdi, active_businesses, business_births   , business_deaths   , high_growth_businesses, cancer_stage1_2   , gigabit_broadband, coverage_4g, coverage_5g, premises_below_30mbps, travel_time_bike  , travel_time_car  , travel_time_pt_walk, Area name
E10000013,              241.0,         60.88,                           ,       21889.0,             464.1,           ,           29690.0,  9.666554395419332,  8.875042101717751,     4.761904761904762 , 54.95183000000001 ,              82.8,       99.55,       74.56,                   2.5, 11.3028320352502  ,  8.08031088443942,   13.6768676613346 , Gloucestershire
E10000014,              376.0,         60.49,                           ,       23835.0,             515.5,           ,           67200.0, 11.205357142857144,  9.486607142857142,     4.758308157099698 , 57.66149          ,              81.9,       99.84,       76.93,                   2.6, 10.1329831100106  ,  7.74351155053357,   12.4294655404996 , Hampshire
E10000015,              726.0,         62.94,                           ,       25950.0,             555.8,           ,           71185.0, 12.214651963194493, 10.936292758305823,     4.067197170645446 , 58.309459999999994,              88.3,       99.99,       96.44,                   1.5,  9.96456264254221 ,  7.73886778333436,   11.859867235239  , Hertfordshire
E10000016,              441.0,         60.8 ,                           ,       22247.0,             498.3,           ,           67740.0, 11.77295541777384 ,  9.905521110126957,     4.318936877076411 ,                   ,              78.1,       99.74,       90.84,                   3.6, 10.1643822495428  ,  7.73584529421824,   11.5121705665134 , Kent
E10000017,              421.0,         61.07,                           ,       18188.0,             448.0,           ,           45615.0, 11.301107091965362, 10.807848295516825,     4.433497536945813 , 52.4596           ,              88.8,       97.96,       87.48,                   1.7,  9.76170251779045 ,  7.43376425851405,   10.7310576907186 , Lancashire
E10000018,              336.0,         61.66,                           ,       19705.0,             466.8,           ,           30590.0, 11.882968290290945,  9.169663288656423,     4.761904761904762 , 50.29354          ,              84.1,       99.91,       92.28,                   1.4, 10.3554983618486  ,  7.78090387325798,   12.4674707449103 , Leicestershire
E10000019,              128.0,         59.8 ,                           ,       18389.0,             425.6,           ,           26625.0, 10.591549295774648,  9.615023474178404,     3.616636528028933 , 50.26408          ,              75.0,       99.96,       91.41,                   5.3, 13.9382932859     ,  9.06660483166228,   15.7905646578705 , Lincolnshire
E10000020,              168.0,         59.12,                           ,       18946.0,             431.9,           ,           32215.0,  9.653887940400436,  9.452118578302034,     3.739612188365651 , 53.20653000000001 ,              68.9,       99.99,       80.91,                   3.1, 13.9925229384561  ,  9.12332046692555,   16.5166613949873 , Norfolk
E10000021,                   ,              ,                           ,              ,                  ,           ,           40580.0, 14.45293247905372 , 10.707244948250368,     4.962406015037594 ,                   ,                  ,            ,            ,                      , 10.1730905990958  ,  7.6889495778967 ,   12.5654641955656 , 
E10000023,                   ,              ,                           ,              ,                  ,           ,           28305.0,  8.956014838367778,  8.602720367426251,     4.140127388535031 ,                   ,                  ,            ,            ,                      , 13.6063783073737  ,  8.8906972019528 ,   18.1719091352823 , 
E10000024,              393.0,         61.14,                           ,       18708.0,             457.6,           ,           28195.0, 10.799787196311403,  9.984039723355204,     4.480286738351254 ,                   ,              87.9,      100.0 ,       95.03,                   1.3, 10.1566241584966  ,  7.67291715644301,   11.6951509043348 , Nottinghamshire
E10000025,              272.0,         64.04,                           ,       24973.0,             527.0,           ,           32995.0, 10.183361115320503,  8.667979996969239,     5.270655270655271 , 59.560680000000005,              83.6,       99.94,       91.04,                   1.4, 10.4442974932432  ,  7.81696594693436,   13.051005069315  , Oxfordshire
E10000027,                   ,              ,                           ,              ,                  ,           ,           22820.0, 10.16652059596845 ,  9.114811568799299,     4.042553191489362 ,                   ,                  ,            ,            ,                      , 12.1205063589313  ,  8.37085298368755,   14.7607305651231 , 
E10000028,              332.0,         60.92,                           ,       19284.0,             470.7,           ,           33035.0,  9.807779627667625,  9.33858029362797 ,     4.172876304023846 , 52.54902          ,              83.1,       99.53,       92.52,                   2.9, 10.9384875789425  ,  8.05668181499883,   13.9834274156721 , Staffordshire
E10000029,              199.0,         59.13,                           ,       19889.0,             454.2,           ,           29760.0, 10.03024193548387 ,  9.07258064516129 ,     3.8461538461538463, 57.9653           ,              78.4,       99.97,       74.46,                   1.9, 11.7878015970258  ,  8.28285876741904,   13.9493107372283 , Suffolk
E10000030,              717.0,         61.86,                           ,       30541.0,             593.0,           ,           70540.0, 10.582648142897646,  9.781684150836405,     4.382826475849732 ,                   ,              82.9,       99.8 ,       85.51,                   1.9,  9.38736896069647 ,  7.53924869260391,   11.0419390479924 , Surrey
E10000031,              296.0,         61.5 ,                           ,       22004.0,             498.3,           ,           29145.0, 10.928118030536972, 10.036026762738034,     4.553734061930783 , 52.725069999999995,              85.2,      100.0 ,       96.85,                   1.2, 10.7592065413458  ,  7.94684660249204,   13.0501460083693 , Warwickshire
E10000032,              438.0,         59.5 ,                           ,       23488.0,             475.4,           ,           38950.0, 10.012836970474968,  9.3196405648267  ,     4.413793103448276 , 56.75479          ,              80.3,       99.66,       82.19,                   2.1,  9.51749567792134 ,  7.43123761559754,   11.1068121453301 , West Sussex
E10000034,              344.0,         59.83,                           ,       20901.0,             453.0,           ,           34225.0, 25.551497443389337, 11.497443389335281,     4.310344827586207 , 58.5897           ,              83.8,       99.93,       88.64,                   2.0, 10.421793716401   ,  7.80663091687638,   12.328283699855  , Worcestershire
E12000001,              307.0,         62.04,                        5.8,       16997.0,             438.2,    23162.0,           75635.0, 12.487604944800687, 11.264626165135189,     4.157175398633258 , 52.54772          ,              88.3,       96.69,       61.56,                   2.1, 11.1334197543324  ,  8.06923811625563,   12.6564368935009 , North East
E12000002,              522.0,         62.43,                        4.1,       18231.0,             458.0,    77556.0,          286130.0, 12.863034285115157, 11.735924230244994,     4.420629604822505 , 53.7519           ,              89.6,       96.87,       77.64,                   1.7,  9.37819965305788 ,  7.40749160962212,   10.8960267413866 , North West
E12000003,              355.0,         62.39,                        4.4,       17713.0,             445.2,    53253.0,          196320.0, 11.921862265688672,  9.998981255093724,     4.1869072403423555, 53.37595          ,              91.3,       97.35,       81.85,                   1.9, 10.3787270438849  ,  7.80604328320756,   12.2030256123898 , Yorkshire and The Humber
E12000004,              310.0,         62.37,                        3.7,       18298.0,             452.6,    58474.0,          189920.0, 12.223567818028643, 10.054233361415331,     4.340010272213662 , 51.8338           ,              87.4,       99.63,       91.04,                   1.9, 10.5371315789476  ,  7.85204013084703,   12.1715235065731 , East Midlands
E12000005,              456.0,         61.8 ,                        4.8,       17891.0,             455.2,    60836.0,          234010.0, 14.717319772659287, 10.73885731379001 ,     4.147665580890337 , 54.14325          ,              89.2,       99.73,       84.46,                   2.0, 10.1012286876295  ,  7.74843900057244,   12.2558554310892 , West Midlands
E12000006,              328.0,         61.55,                        3.2,       21826.0,             496.2,    90480.0,          288645.0, 11.77744287966187 , 10.556219577681928,     4.276632633403969 , 56.25683000000001 ,              83.6,       99.99,       87.87,                   1.9, 10.9756536280687  ,  8.07168211449897,   12.9470508159387 , East of England
E12000007,             5655.0,         68.77,                        4.6,       29613.0,             590.9,   683412.0,          597720.0, 14.814628923241651, 11.363180084320417,     5.431570365841231 ,                   ,              90.4,      100.0 ,       99.92,                   1.4,  7.5636993497965  ,  6.77950865710353,    7.39730079816966, London
E12000008,              482.0,         61.99,                        3.0,       24195.0,             516.0,   218126.0,          447655.0, 11.517798304497884,  9.835699366699803,     4.606910365548322 , 56.848569999999995,              83.2,       99.83,       86.76,                   2.2,  9.73152782908022 ,  7.590483058484  ,   11.3668706967536 , South East
E12000009,              237.0,         60.7 ,                        3.1,       20725.0,             444.9,    70768.0,          230995.0, 10.363860689625316,  9.36816814216758 ,     4.203223831871047 , 56.30536          ,              78.6,       99.13,       71.87,                   4.0, 11.1954642603065  ,  8.10698221213694,   13.5286124555636 , South West
E47000001,             2232.0,         63.61,                        5.0,       17479.0,                  ,    34182.0,          117205.0, 14.052301522972568, 12.806620877948893,     4.705383637134379 , 54.53249          ,              93.2,       99.88,       98.82,                   1.1,                   ,                  ,                    , Greater Manchester
E47000002,              886.0,         63.12,                        5.2,       16662.0,                  ,    13672.0,           43225.0, 13.880855986119144, 11.16252168883748 ,     3.747323340471092 , 51.01528          ,              93.1,       99.09,       94.6 ,                   1.3,                   ,                  ,                    , South Yorkshire
E47000003,             1153.0,         63.15,                        4.5,       17145.0,                  ,    23482.0,           86635.0, 12.067870952848155,  9.995960062330466,     4.557640750670242 , 53.782759999999996,              92.9,       99.69,       94.68,                   1.5,                   ,                  ,                    , West Yorkshire
E47000004,             2114.0,         62.97,                        4.1,       17380.0,                  ,     7888.0,           48810.0, 15.222290514238884, 11.749641466912518,     4.057971014492753 , 53.664269999999995,              90.7,      100.0 ,       99.57,                   1.6,                   ,                  ,                    , Liverpool City Region
E47000006,              848.0,         61.19,                        6.4,       16638.0,                  ,     8725.0,           19435.0, 12.88911757139182 , 11.808592745047594,     3.4739454094292808, 53.43273000000001 ,              92.6,       99.74,       96.77,                   2.4,                   ,                  ,                    , Tees Valley
E47000007,             3239.0,         62.94,                        6.6,       15884.0,                  ,    39954.0,          102870.0, 14.882861864489161, 11.742976572372898,     4.0866568193008375, 54.83489          ,              95.7,      100.0 ,       99.99,                   1.0,                   ,                  ,                    , West Midlands
E47000008,              260.0,         63.72,                        3.4,       21220.0,                  ,    14926.0,           38145.0, 12.701533621706645,  9.490103552234894,     5.533596837944664 , 54.645619999999994,              89.3,      100.0 ,       96.8 ,                   1.7,                   ,                  ,                    , Cambridgeshire and Peterborough
E47000009,              992.0,         66.27,                        3.7,       21369.0,                  ,    21684.0,           40200.0, 12.014925373134329,  9.689054726368159,     4.823529411764706 , 59.08441          ,              87.5,       99.96,       96.44,                   2.3,                   ,                  ,                    , West of England
E47000010,                   ,              ,                           ,              ,                  ,           ,                  ,                   ,                   ,                       , 52.08535          ,                  ,            ,            ,                      ,                   ,                  ,                    , 
E47000011,                   ,              ,                           ,              ,                  ,           ,                  ,                   ,                   ,                       , 52.502030000000005,                  ,            ,            ,                      ,                   ,                  ,                    , 
E47000012,               98.0,         60.69,                        2.0,       21730.0,                  ,     5863.0,           35870.0,  9.604126010593811,  8.767772511848342,     3.9751552795031055,                   ,              81.2,       95.37,       70.71,                   4.1,                   ,                  ,                    , York and North Yorkshire
E47000013,              459.0,         62.6 ,                        4.0,       17832.0,                  ,    31418.0,           76490.0, 11.204078964570533, 10.112432997777487,     4.371257485029941 ,                   ,              89.2,       98.92,       93.01,                   1.4,                   ,                  ,                    , East Midlands
E47000014,              252.0,         62.33,                        5.6,       17120.0,                  ,    14437.0,           56200.0, 12.348754448398576, 11.076512455516015,     4.360679970436069 ,                   ,              86.8,       96.38,       57.97,                   2.0,                   ,                  ,                    , North East
E47000015,              141.0,         58.13,                        3.1,       19972.0,                  ,           ,           36790.0,  9.146507203044306,  9.06496330524599 ,     3.900709219858156 ,                   ,              72.7,       98.23,       59.62,                   7.4,                   ,                  ,                    , Devon and Torbay
E47000016,              246.0,         61.08,                        5.3,       17426.0,                  ,           ,           19905.0, 11.328811856317508,  9.595579000251194,     3.9915966386554618,                   ,              94.8,       99.9 ,       94.29,                   1.0,                   ,                  ,                    , Hull and East Yorkshire
E47000017,              156.0,         60.01,                        3.9,       17889.0,                  ,           ,           37310.0, 10.90860359153042 ,  9.782900026802466,     3.7688442211055273,                   ,              80.3,       99.96,       92.27,                   4.3,                   ,                  ,                    , Greater Lincolnshire
E47000018,              494.0,         61.27,                        3.3,              ,                  ,           ,           55190.0, 11.659720963942743, 10.934951984055083,     4.257028112449799 ,                   ,              89.3,       98.07,       87.82,                   1.5,                   ,                  ,                    , Lancashire
E92000001,              432.0,         63.0 ,                        3.9,       21519.0,             483.0,  1336067.0,         2547030.0, 12.77389744133363 , 10.60117077537367 ,     4.555869785108271 , 54.879090000000005,              86.7,       98.87,       81.41,                   2.1,  9.85293398931194 ,  7.62171557840027,   11.3530419654031 , England
K02000001,              274.0,         62.97,                           ,       21016.0,             479.1,  1640641.0,         2889115.0, 12.592956666660898, 10.504773953269426,     4.466968969502978 ,                   ,              85.9,       95.75,       65.19,                   2.2,                   ,                  ,                    , United Kingdom
K03000001,              283.0,         62.97,                        3.9,       21140.0,             479.1,           ,         2827385.0, 12.65409556887371 , 10.564709086311202,     4.491898507571744 ,                   ,              85.7,       95.6 ,       63.94,                   2.2,                   ,                  ,                    , Great Britain
K04000001,              393.0,         62.89,                        3.9,       21302.0,             480.0,           ,         2648645.0, 12.72726243041253 , 10.586356419980783,     4.537018756169792 ,                   ,              86.3,       98.57,       78.01,                   2.1,                   ,                  ,                    , England and Wales
N09000001,              254.0,         62.75,                           ,       17188.0,             448.5,           ,            3645.0,  8.916323731138547,  8.367626886145404,     3.1914893617021276,                   ,              96.7,       99.98,       98.74,                   0.3,                   ,                  ,                    , Antrim and Newtownabbey
N09000002,              162.0,         62.05,                           ,       16271.0,             443.3,           ,            6780.0,  9.29203539823009 ,  7.817109144542774,     4.054054054054054 ,                   ,              92.1,       99.7 ,       95.52,                   1.1,                   ,                  ,                    , "            Armagh City, Banbridge and Craigavon          "
